mpid,formula
mp-1016271,Mg7Al1
mp-1016277,Y1Mg7
mp-10163,Na4Al4Te8
mp-10165,K4Al4Te8
mp-10166,Na4Al4Se8
mp-1016823,Ba1Ge1O3
mp-1016825,Hf1Mg1O3
mp-1016827,Mg1Ge1O3
mp-1016829,Mg1Ru1O3
mp-1016830,Mg1Ti1O3
mp-1016843,Mg1Os1O3
mp-1016846,Ti1Cd1O3
mp-1016852,Ba1Mn1O3
mp-1016871,Zr1Hg1O3
mp-1016876,Zn1Si1O3
mp-1016879,Cd1Si1O3
mp-1016928,Mg1Si1O3
mp-1016929,Mg1Rh1O3
mp-1016931,V1Zn1O3
mp-1016932,Mn1Zn1O3
mp-1016999,Sr1Ge1O3
mp-1017,Zr6O2
mp-1017439,Sr1Si1O3
mp-1017467,Ca1Mn1O3
mp-1017507,Tm4Au4
mp-1017508,Lu3Tl3Te6
mp-1017509,Mg1Ni1H2
mp-1017510,Mg2Te2
mp-1017511,Cr6Fe2
mp-1017514,Mg3Si3N6
mp-1017529,V1Co3
mp-1017530,V2H2
mp-1017531,V2Pt2
mp-1017532,V2N2
mp-1017533,Y2N2
mp-1017534,Zn1Cd1Se2
mp-1017539,Zn2O2
mp-1017540,Zr2Cd2
mp-1017541,Zr1Ir1
mp-1017542,Zr1Os3
mp-1017543,Zr1Pd3
mp-1017545,Zr2Rh2
mp-1017546,Zr2N2
mp-1017548,Ca1Be2P2
mp-1017549,Ca1B2H2
mp-1017550,Be3N2
mp-1017551,Bi2O3
mp-1017552,Bi2O3
mp-1017559,Eu1Zn2As2
mp-1017564,Eu2O3
mp-1017565,In2Se3
mp-1017567,Hf2S1N2
mp-1017579,In2Au3
mp-1017628,Mg1Be2P2
mp-10177,La1Sb1
mp-1017982,Tl2N2
mp-1017983,Ti2Mo6
mp-1017985,Ti2Ag2
mp-1017987,Tc3N1
mp-1017988,Sr1Ca1O2
mp-1018018,Pd2N2
mp-1018020,Ni3Ag3Se6
mp-1018022,Nb1In1S2
mp-1018025,Lu3Ag3O6
mp-1018026,Li4Ag4
mp-1018027,V1N1
mp-1018028,Ti1S1
mp-1018029,Cu1Pd1
mp-1018030,Sr2S1O1
mp-1018031,K3In3O6
mp-1018033,Ag3Rh3O6
mp-1018040,Mg2Se2
mp-1018047,La4Sn4
mp-1018048,La2Ni2C4
mp-1018049,La2N2
