mpid,formula
mp-1016877,Hg1Rh1O3
mp-1016879,Cd1Si1O3
mp-1016882,Cd1Os1O3
mp-1016900,Ca1Os1O3
mp-1016903,Cd1Ge1O3
mp-1016904,V1Cd1O3
mp-1016928,Mg1Si1O3
mp-1016932,Mn1Zn1O3
mp-1016938,V1Hg1O3
mp-1017441,Sr1Rh1O3
mp-1017447,Hg1Ge1O3
mp-1017467,Ca1Mn1O3
mp-1017507,Tm4Au4
mp-1017509,Mg1Ni1H2
mp-1017510,Mg2Te2
mp-1017514,Mg3Si3N6
mp-1017519,Ir1C1
mp-1017529,V1Co3
mp-1017530,V2H2
mp-1017540,Zr2Cd2
mp-1017542,Zr1Os3
mp-1017549,Ca1B2H2
mp-1017550,Be3N2
mp-1017552,Bi2O3
mp-1017553,Cd1Co3N1
mp-1017556,Cu1Ni3N1
mp-1017557,Dy3Al1N1
mp-1017558,Er3Al1N1
mp-1017563,Ga1Pt3C1
mp-1017564,Eu2O3
mp-1017565,In2Se3
mp-1017567,Hf2S1N2
mp-1017577,Ho3Al1N1
mp-1017578,Hf1B1Rh3
mp-1017626,Li1Ca1F3
mp-1017627,Lu3Al1N1
mp-1017632,Ni3Sn1N1
mp-10179,Li4Mg4Sb4Pd4
mp-1017983,Ti2Mo6
mp-1017985,Ti2Ag2
mp-1017987,Tc3N1
mp-10180,Li8Sb4Pd4
mp-1018012,Ti4Fe4Co4Ge4
mp-1018016,Ti8Al4Ni4
mp-1018017,Sc8Mn4Sn4
mp-1018020,Ni3Ag3Se6
mp-1018021,Nb1Co3
mp-1018022,Nb1In1S2
mp-1018024,Mn4Fe4Co4Ge4
mp-1018027,V1N1
mp-1018028,Ti1S1
mp-1018029,Cu1Pd1
mp-1018041,Ti8Mn4In4
mp-1018042,U1Bi1
mp-1018043,Ti8In4Co4
mp-1018050,Cr1C1
mp-1018052,Ho2Fe2C4
mp-1018053,In2Cu2
mp-1018054,Hf1Pt3
mp-1018056,Hf4Ni4
mp-1018059,Ga2Sb2
mp-1018061,Fe1H3
mp-1018062,Fe2Sn2Rh4
mp-1018063,Er4H12
mp-1018064,Er2Fe2C4
mp-1018065,Dy2Fe2C4
mp-1018066,Cr2Sn2Rh4
mp-1018067,Cr4Fe12
mp-1018068,Cr4Fe8Si4
mp-1018070,Ti8In4Fe4
mp-1018071,Mn4Fe8Ge4
mp-1018073,Ho4Ga4
mp-1018074,Ga4Fe4Ni8
mp-1018076,Ga2Bi1As1
mp-1018077,Er4Ga4
mp-1018079,Cr1Ga1P2
mp-1018080,Cr4Co8Bi4
mp-1018081,Cr1Fe3
mp-1018082,Cr4Co8Sb4
mp-1018083,Cr1Cd1Te2
mp-1018085,Co2Sn2Rh4
mp-1018086,Ce4Pd4
mp-10181,Li4Si4Ni8
mp-1018101,Al1Co3
mp-1018103,Zr2Au4
mp-1018105,Zr4Zn2
mp-1018106,Yb4Bi4Pt4
mp-1018112,Y2Sb4
mp-1018113,Y2Au4
mp-1018116,Nb1In1Se2
mp-1018117,Ce4Rh4
mp-1018118,Tm4Sb4Pd4
mp-1018119,V4Co4Sn4
mp-1018120,Tm2Sb4
mp-1018121,Ti2Pd4
mp-1018124,Ti4Rh2
mp-1018125,Ti2Re1
mp-1018127,Tb2Sb4
mp-1018129,Pt4W2
mp-1018130,Pa2C4
mp-1018131,Lu2Ag4
mp-1018133,Li1H1Pd1
mp-1018139,Ho4Ni4Bi4
mp-1018140,Mg1Ni1
mp-1018146,Gd2Co2C4
mp-1018147,Eu4Pd4
mp-1018149,Sc2Cu4
mp-1018150,Nb1Te2
mp-1018151,Nb2Pd4
mp-1018152,Lu2Au4
mp-1018153,Hf2Au4
mp-1018154,Hf4Hg2
mp-1018155,Mn4Sn4
mp-1018156,Hf4Cd2
mp-1018158,Dy2Sb4
mp-1018159,Er2Sb4
mp-1018160,Pm4N4
mp-1018162,Ce4Bi4Pt4
mp-1018164,Pt4C4
mp-1018166,Al2Tc4
mp-1018175,Th4Au4
mp-1018176,Gd2Fe2C4
mp-1018177,Eu2C4
mp-1018179,Al2Au4
mp-1018276,Ce4Ga4
mp-10186,Pu1Si2
mp-1018627,Sc1B1Pt3
mp-1018628,Sc1Pt3C1
mp-1018631,Dy1Cu2S2
mp-1018632,Ho1Cu2S2
mp-1018635,Sc1Pd3C1
mp-1018636,Sn1Pd3C1
mp-1018637,Tb1Cu2S2
mp-1018638,Tb3Al1N1
mp-1018639,Ti1Sn1O3
mp-1018640,Tm1Cu2S2
mp-1018641,Tm3Al1N1
mp-1018642,Y1Cu2S2
mp-1018643,Y1B1Pd3
mp-1018646,Yb1H3Pd1
mp-1018647,Yb1Ni1H3
mp-1018648,Au2N4
mp-1018649,B1C5
mp-1018651,Ba2H3I1
mp-1018652,K2Cd2Sb2
mp-1018653,Ba2Mg2Pb2
mp-1018655,C2N4
mp-1018658,Ca2Co2Si2
mp-1018659,Ce2O4
mp-1018660,Ce2Co2Si2
mp-1018661,Ce2Pb2Au2
mp-1018665,Ce2Se4
mp-1018667,Ce2Te2Cl2
mp-1018669,Ce2Tl2Zn2
mp-1018673,Co2P2Pd2
mp-1018674,Dy2Al2Zn2
mp-1018676,Ce2Sb2Au2
mp-1018677,Dy2Sc2Sb2
mp-1018679,Dy2Te4
mp-1018680,Dy2Tl2Zn2
mp-1018682,Dy2Zn2Ga2
mp-1018684,Er2Mg3Ru1
mp-1018686,Er2H4
mp-1018688,Er2Tl2Zn2
mp-1018690,Er2Zn2Ga2
mp-1018693,Eu2H3Cl1
mp-1018695,Eu2Bi2Au2
mp-1018698,Eu2Hg2Pb2
mp-10187,Te2Ir2
mp-1018700,Eu2O4
mp-1018701,Eu2Sn2Hg2
mp-1018704,Gd2Al2Zn2
mp-1018705,Gd2Cu2Pb2
mp-1018707,Gd2Se4
mp-1018708,Gd2Tl2Zn2
mp-1018709,Hf2Ga1Sb3
mp-1018710,Hf2Ta1N3
mp-1018712,Hf1Ga4Co1
mp-1018713,Hf2Cu2Sn2
mp-1018714,Hf2Ga2Cu2
mp-1018715,Hf5Pb1
mp-1018717,Hf2Sb4
mp-1018718,Hf1Ta2N3
mp-1018719,Hf1Ta1N1O3
mp-1018720,Hf2V2Si2
mp-1018722,Hg3Se3
mp-1018723,Ho1Co3Cu2
mp-1018725,Ho2Fe2Si2
mp-1018726,Hf2V2Ge2
mp-1018730,In4Cu2
mp-1018731,Ho2S2I2
mp-1018732,Ho2Te4
mp-1018740,La2Co2Si2
mp-1018742,La1Ni2Rh3
mp-1018743,La1Ni3Rh2
mp-1018744,La2Pb2Au2
mp-1018746,La1Ge2Ir3
mp-1018747,La2Sb2Te2
mp-1018755,La2Tl2Zn2
mp-1018757,La2Zn2Ga2
mp-1018762,Li3Ce1Bi2
mp-1018763,Li3Dy1Sb2
mp-1018764,Li3Ho1Sb2
mp-1018770,Li3Pr1Bi2
mp-1018780,Li3Sm1Bi2
mp-1018781,Li3Sm1Sb2
mp-1018783,Li2Be2B2
mp-1018784,Li1Ce1Cu2P2
mp-1018785,Li2Fe2As2
mp-1018793,Lu2Se4
mp-1018800,Mn2Cu2As2
mp-1018802,Mn2Ga2Ge2
mp-1018803,Mn2Co2Sb2
mp-1018808,Mg2Co2Ge2
mp-1018812,Nb2Ge2As2
mp-1018813,Nd2Co2P2
mp-1018814,Nd2Sb2Te2
mp-1018817,Nd2Se4
mp-1018818,Nd2Te2Cl2
mp-1018819,Nd2Tl2Cd2
mp-1018823,Ni2P2Rh2
mp-1018825,Nd2Pb2Au2
mp-1018828,Np2Se2O2
mp-1018829,Np2Te4
mp-1018886,Pd2O4
mp-1018890,Pa1P2
mp-1018892,Pr2Co2Si2
mp-1018895,Pr2Fe2Si2
mp-1018896,Pr2Pb2Au2
mp-1018897,Pr2Co2P2
mp-10189,Li1Ti1Te2
mp-1018902,Pr2Sb2Pt2
mp-1018940,Pr2Se4
mp-1018942,Pr2Tl2Cd2
mp-1018946,Pr2Zn2Ga2
mp-1018948,Re4N2
mp-1019051,Re2C4
mp-1019080,Re2N4
mp-1019082,Ru2N4
mp-1019093,Pa2P4
mp-1019099,Sm2Co2P2
mp-1019100,Sm2Fe2Si2
mp-1019102,Sm2Mn2Si2
mp-1019107,Pu2Te4
mp-1019108,Sm2Co2Si2
mp-1019109,Sm2Ge2Ru2
mp-1019110,Sm2Pb2Au2
mp-10192,Lu4P4
mp-1019238,Pd4N2
mp-1019239,Pd2N4
mp-1019256,Sm2Tl2Zn2
mp-1019257,Sm2Zn2Ga2
mp-1019262,Ta2N3O1
mp-1019271,Ta2N4
mp-1019278,Tb2Ge2Au2
mp-1019281,Ta2N3F1
mp-10193,Lu1P1Pt1
mp-1019317,Tc2B4
mp-1019322,Te4W2
mp-1019324,Tb2Te4
mp-1019357,Th2As2Se2
mp-1019360,Th2P2Se2
mp-1019362,Th2Bi2Te2
mp-10195,Lu8S16
mp-1019535,Ba1Al2Si2O8
mp-10196,Ta2N1
mp-1019729,Eu12Al4O20
mp-10198,Mn3Pd1N1
mp-1019888,K2Na4B2N4
mp-1020,Ta1Rh3
mp-10200,Zr2Be2Si2
mp-10201,Ge4Mo2
mp-10203,Ta10Si6
mp-10204,Mn2Se2
mp-10208,Ni2Mo2P4
mp-10209,Y3Al3Ni1Ge2
mp-10213,Y4Ge8
mp-10214,Y6Ge3Rh9
mp-1021466,Cs1P1Pb1I2F6
mp-1021489,Ir1O3
mp-1021503,Si2O4
mp-1021509,Ce2Fe8As24
mp-1021511,Cd1S1
mp-1021512,Lu8O24
mp-1021659,K4Cu2O4
mp-1021660,Nb4In4Ru4
mp-1021666,Al1Si1
mp-1021667,I1Cl1O3
mp-1021668,In3Sb1
mp-1021670,Ti3Ag3Se6
mp-1021672,Sr2Cu1C1N2O2
mp-1021674,Ni4Cl4
mp-1022721,Al1Cu1
mp-1022722,Bi6O4
mp-1022723,Ce4Cu2N4O4
mp-1022729,Na8H24Ir4
mp-1022730,Y2Fe4Bi4Se4O8
mp-1022732,Fe2Bi2As2O2
mp-10229,Nb6Si2
mp-10232,Na1Mn1Se2
mp-1023924,Mo1S2
mp-1023926,Te2W1
mp-1023929,W2Se2S2
mp-1023930,Mo1W1Se2S2
mp-1023931,Te2W2S2
mp-1023932,Te2Mo1W1S2
mp-1023935,Te2Mo1
mp-1023937,W1S2
mp-1023943,Te2W2Se2
mp-1023945,Te2Mo1W1Se2
mp-1023953,Mo2Se2S2
mp-1023954,Mo1W1S4
mp-1023955,Mo1W1Se2S2
mp-1023959,Te2Mo2S2
mp-1023963,Te2Mo1W1S2
mp-1024039,Mg3Al1O4
mp-10247,U4Cr2N6
mp-1024940,Dy4In4Co16
mp-1024947,Yb4Bi8
mp-1024957,Tm4In4Cu16
mp-1024958,Zr2H2Cl2
mp-1024960,Pr4Sc4Si4
mp-1024962,Ho4In4Co16
mp-1024963,Tb2Co4B4C2
mp-1024969,Np2F10
mp-1024972,Fe2Ni2Ge2
mp-1024974,Y1Si2Ru3
mp-1024975,Ce2B4Pt4C2
mp-1024977,Yb4Ni16Au4
mp-1024983,Er4In4Ni16
mp-1024984,Tb4In4Pt16
mp-1024985,Er4Al4Ge4
mp-1024986,Ce2Sb2Pd2
mp-1024988,Li1Yb1Cu2P2
mp-1024989,Y2B4Pd4C2
mp-1024990,Lu1B2Ir3
mp-1024993,Dy1B2Ir3
mp-1024994,Ho4Cu16Au4
mp-1024996,Mn2Co2Sn2
mp-1024998,Sc4Co4Si4
mp-1024999,Ho1Cr2Si2C1
mp-1025,Th1Au2
mp-1025001,Er4Ni16Au4
mp-1025009,Co2Ni2Sb2
mp-1025017,Nd1Si2Ru3
mp-1025021,Yb4Mg4Cu16
mp-1025022,Ho4In4Pt16
mp-1025023,Tb4C4Br4
mp-1025025,Th4Co4Si4
mp-1025027,Ho1B2Rh3
mp-1025029,Pr2H2Se2
mp-1025030,Er1Pt5
mp-1025033,Lu4In4Co16
mp-1025034,Th2Ni4B4C2
mp-1025039,Pb4S8
mp-1025041,Th2B4Pd4C2
mp-1025043,U1Al2Cu3
mp-1025044,Al2Ni4
mp-1025045,Ti2Ga2Pd2
mp-1025047,Fe2Co2Ge2
mp-1025051,Yb1B2Rh3
mp-1025056,Th1Si2Ru3
mp-1025063,Li2Al2Pt2
mp-1025065,La1Mn2Ni3
mp-1025066,Er4In4Co16
mp-1025067,Re4Ge8
mp-1025068,Nd1B2Ir3
mp-1025069,Pr4Sn8
mp-1025070,Y2Co4B4C2
mp-1025071,Yb1B2Ir3
mp-1025075,Tb1B2Ir3
mp-1025079,Eu2As2Pd2
mp-1025084,Ho4B4C4
mp-1025099,Tb2Ga2I2
mp-1025100,La2Ge10
mp-1025102,Ce1Al3Pt2
mp-1025105,Lu4Al4Ge4
mp-1025108,Gd4Al4Ge4
mp-1025113,Dy4In4Pt16
mp-1025122,Lu4Cu8
mp-1025123,U2Ni4B4C2
mp-1025134,Ho4Cu16Pd4
mp-1025136,Eu1Al3Cu2
mp-1025137,Np1Ni5
mp-1025143,Dy1B2Rh3
mp-1025144,Ce4Ga4Ge4
mp-1025149,Ti8B4
mp-1025150,Cu2W1Se4
mp-1025151,Cr4Ni2Se8
mp-1025154,U2Tl4O8
mp-1025155,Lu1Ga5Co1
mp-1025156,Np1B6
mp-1025159,Te8Rh6
mp-1025162,K4Np2O8
mp-1025163,Gd2C1N2O2
mp-1025165,Zr2V4Ga8
mp-1025167,Hf2V4Ga8
mp-1025168,Ru2F12
mp-1025172,Ho2Ti4Ga8
mp-1025174,U4Mo4C6
mp-1025175,Lu4Cr4C6
mp-1025176,Hf1Ga5Ni1
mp-1025182,V4Fe2Se8
mp-1025183,Ho4B8C2
mp-1025189,Tb4Re4Si4C2
mp-1025191,Sc1Ga5Ni1
mp-1025193,Hf1Ga5Co1
mp-1025194,Pr4Fe4Si4C2
mp-1025195,Nb4V2Se8
mp-1025198,Np1Ga5Ni1
mp-1025203,Ti4V2Se8
mp-1025204,Al6Fe3S12
mp-1025206,Eu4Al2N2O6
mp-1025210,Nd4Re4Si4C2
mp-1025212,In1As1Pt5
mp-1025218,Si1Pt5Pb1
mp-1025220,Si1Ag1Pt5
mp-1025222,Zn1Pd5Se1
mp-1025223,Hf4Al3
mp-1025224,V2Cr4S8
mp-1025225,Er1Ga5Co1
mp-1025230,U4Re4C6
mp-1025231,Pr4Cr2S8
mp-1025236,Sc2Ti4Ga8
